name,link,locations,credential
Computer Automated Systems Technician,https://saskpolytech.ca/programs-and-courses/programs/Computer-Automated-Systems-Technician-Diploma.aspx,Regina,Diploma
Computer Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Computer-Engineering-Technology.aspx,Moose Jaw,Diploma
Computer Networking Technician,https://saskpolytech.ca/programs-and-courses/programs/Computer-Networking-Technician.aspx,Regina,Certificate
Computer Systems Technology,https://saskpolytech.ca/programs-and-courses/programs/Computer-Systems-Technology.aspx,"Regina, Saskatoon",Diploma
Construction Option (Civil Engineering Technologies),https://saskpolytech.ca/programs-and-courses/programs/Civil-Engineering-Technologies.aspx,See program page for details,Diploma
Construction Management (Bachelor Degree),https://saskpolytech.ca/programs-and-courses/programs/Bachelor-of-Construction-Management.aspx,Regina,Degree
Continuing Care Assistant,https://saskpolytech.ca/programs-and-courses/programs/Continuing-Care-Assistant.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Certificate
Court Services Administrator,https://saskpolytech.ca/programs-and-courses/programs/Court-Services-Administrator.aspx,"Prince Albert, Regina, Saskatoon",Applied Certificate
Critical Care Nursing,https://saskpolytech.ca/programs-and-courses/programs/Critical-Care-Nursing.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Advanced Certificate
Culinary Arts,https://saskpolytech.ca/programs-and-courses/programs/Culinary-Arts.aspx,"Moose Jaw, Prince Albert, Regina, Saskatoon",Diploma
Cyber Security,https://saskpolytech.ca/programs-and-courses/programs/Cyber-Security.aspx,"Regina, Saskatoon",Post-Graduate Certificate
Cytotechnology,https://saskpolytech.ca/programs-and-courses/programs/Cytotechnology.aspx,Saskatoon,Diploma
Dental Aide,https://saskpolytech.ca/programs-and-courses/programs/Dental-Aide.aspx,"Online/Distance, Regina",Applied Certificate
Dental Assisting,https://saskpolytech.ca/programs-and-courses/programs/Dental-Assisting.aspx,Regina,Certificate
Dental Hygiene,https://saskpolytech.ca/programs-and-courses/programs/Dental-Hygiene.aspx,Regina,Advanced Diploma
Dental Therapy (Bachelor of Science in Dental Therapy),https://saskpolytech.ca/programs-and-courses/programs/Bachelor-of-Science-in-Dental-Therapy.aspx,"Prince Albert, Regina, Saskatoon, Other",Degree
Design and Manufacturing Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Design-and-Manufacturing-Engineering-Technology.aspx,Saskatoon,Diploma
Digital Marketing,https://saskpolytech.ca/programs-and-courses/programs/Digital-Marketing.aspx,"Moose Jaw, Prince Albert",Diploma
Disability Support Professional,https://saskpolytech.ca/programs-and-courses/programs/Disability-Support-Professional.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Certificate
Disability Support Worker,https://saskpolytech.ca/programs-and-courses/programs/Disability-Support-Worker.aspx,,Certificate
Early Childhood Administration,https://saskpolytech.ca/programs-and-courses/programs/Early-Childhood-Administration-Advanced-Certificate.aspx,Online/Distance,Advanced Certificate
Early Childhood Education,https://saskpolytech.ca/programs-and-courses/programs/Early-Childhood-Education-Cert-of-Achievement.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Certificate of Achievement
